Date and Time:                Mon Jan 30 17:19:52.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6355
203.10698	6100
203.12848	6116
203.14999	6075
203.17151	6139
203.19302	6214
203.21452	6235
203.23604	6225
203.25755	6277
203.27905	6291
203.30057	6294
203.32208	6317
203.34358	6293
203.3651	6353
203.38661	6387
203.40811	6410
203.42963	6472
203.45113	6514
203.47264	6587
203.49416	6578
203.51566	6665
203.53717	6636
203.55867	6662
203.58018	6705
203.60168	6778
203.6232	6802
203.6447	6858
203.66621	6933
203.68771	6926
203.70923	6971
203.73073	7032
203.75224	7048
203.77374	7134
203.79526	7088
203.81676	7179
203.83827	7225
203.85977	7245
203.88127	7302
203.90279	7355
203.92429	7403
203.94579	7417
203.9673	7463
203.9888	7438
204.01031	7467
204.03181	7542
204.05331	7628
204.07481	7648
204.09633	7649
204.11783	7756
204.13933	7810
204.16084	7776
204.18234	7813
204.20384	7846
204.22534	7909
204.24684	7975
204.26836	7996
204.28986	8033
204.31136	8119
204.33286	8193
204.35435	8208
204.37587	8222
204.39737	8271
204.41887	8384
204.44037	8292
204.46187	8381
204.48337	8405
204.50487	8438
204.52637	8482
204.54787	8463
204.56937	8473
204.59087	8492
204.61237	8562
204.63387	8648
204.65536	8695
204.67688	8723
204.69836	8765
204.71986	8739
204.74136	8766
204.76286	8861
204.78436	8878
204.80586	8955
204.82736	9061
204.84886	9038
204.87036	9082
204.89186	9166
204.91336	9213
204.93486	9329
204.95636	9357
204.97784	9323
204.99934	9377
205.02084	9415
205.04234	9454
205.06384	9525
205.08534	9554
205.10683	9641
205.12833	9724
205.14983	9754
205.17133	9812
205.19281	9921
205.21431	9985
205.23581	10012
205.25731	9988
205.27879	10038
205.30029	10084
205.32179	10157
205.34328	10241
205.36478	10330
205.38628	10408
205.40776	10396
205.42926	10415
205.45074	10388
205.47224	10462
205.49374	10535
205.51523	10552
205.53673	10718
205.55821	10729
205.57971	10789
