Date and Time:                Mon Jan 30 17:40:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              305
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



283.48544	3126
283.50656	2988
283.52771	2954
283.54883	2975
283.56998	2999
283.59109	3018
283.61224	2975
283.63336	2981
283.65451	2932
283.67563	2953
283.69678	2919
283.7179	2946
283.73904	2908
283.76016	2936
283.78131	2938
283.80243	2928
283.82358	2913
283.8447	2892
283.86584	2949
283.88696	2891
283.90811	2906
283.92923	2908
283.95035	2932
283.9715	2925
283.99261	2905
284.01376	2881
284.03488	2861
284.056	2893
284.07715	2871
284.09827	2887
284.11942	2895
284.14053	2909
284.16165	2931
284.1828	2897
284.20392	2873
284.22504	2894
284.24619	2889
284.2673	2928
284.28842	2936
284.30957	2952
284.33069	2893
284.35181	2890
284.37296	2835
284.39407	2870
284.41519	2890
284.43634	2938
284.45746	2915
284.47858	2898
284.49969	2893
284.52084	2887
284.54196	2847
284.56308	2870
284.5842	2860
284.60535	2905
284.62646	2911
284.64758	2940
284.6687	2914
284.68985	2914
284.71097	2881
284.73209	2896
284.7532	2906
284.77432	2904
284.79547	2955
284.81659	2895
284.83771	2925
284.85883	2886
284.87994	2877
284.90106	2865
284.92221	2863
284.94333	2823
284.96445	2831
284.98557	2851
285.00668	2877
285.0278	2848
285.04892	2841
285.07004	2842
285.09116	2808
285.1123	2803
285.13342	2821
285.15454	2835
285.17566	2840
285.19678	2853
285.2179	2858
285.23901	2867
285.26013	2830
285.28125	2847
285.30237	2876
285.32349	2875
285.3446	2878
285.36572	2864
285.38684	2889
285.40796	2836
285.42908	2844
285.4502	2829
285.47131	2805
285.49243	2827
285.51355	2877
285.53467	2856
285.55579	2855
285.5769	2839
285.59802	2852
285.61914	2839
285.64026	2851
285.66138	2893
285.6825	2874
285.70358	2908
285.7247	2925
285.74582	2953
285.76694	2939
285.78806	2933
285.80917	2859
285.83029	2899
285.85141	2895
285.87253	2920
285.89362	2957
285.91473	2935
285.93585	2926
