Date and Time:                Sat Jan 28 16:00:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	5107
233.25017	4859
233.27155	4874
233.29292	4843
233.3143	4875
233.33568	4929
233.35706	4925
233.37842	4889
233.3998	4854
233.42117	4860
233.44255	4855
233.46393	4842
233.48531	4799
233.50668	4823
233.52805	4830
233.54942	4845
233.5708	4847
233.59218	4854
233.61356	4882
233.63492	4880
233.6563	4867
233.67767	4852
233.69904	4885
233.72041	4885
233.74179	4878
233.76317	4885
233.78453	4906
233.80591	4906
233.82729	4930
233.84865	4922
233.87003	4941
233.89139	4992
233.91277	4988
233.93414	5001
233.95551	4999
233.97688	4943
233.99825	4960
234.01962	5002
234.04099	5040
234.06236	5052
234.08374	5012
234.1051	4991
234.12648	4957
234.14784	4964
234.16922	4989
234.19058	4992
234.21194	5037
234.23332	5022
234.25468	5016
234.27606	5026
234.29742	5026
234.31879	5015
234.34016	5023
234.36153	5066
234.3829	5058
234.40427	5084
234.42563	5076
234.44701	5074
234.46837	5128
234.48973	5093
234.51111	5079
234.53247	5095
234.55383	5099
234.5752	5089
234.59657	5076
234.61794	5097
234.6393	5077
234.66066	5075
234.68202	5004
234.7034	4994
234.72476	5000
234.74612	5006
234.76749	4979
234.78885	5023
234.81021	5010
234.83159	5023
234.85295	4975
234.87431	4973
234.89568	4961
234.91704	4951
234.9384	5020
234.95976	4993
234.98112	5017
235.00249	5026
235.02385	5058
235.04521	5054
235.06657	5108
235.08794	5024
235.1093	5027
235.13066	5047
235.15202	5047
235.17339	5054
235.19475	5053
235.21611	5016
235.23747	5027
235.25883	5043
235.28018	5050
235.30154	5023
235.32291	5089
235.34427	5077
235.36563	5105
235.38699	5062
235.40836	5070
235.4297	5088
235.45107	5091
235.47243	5107
235.49379	5131
235.51514	5157
235.5365	5141
235.55786	5153
235.57922	5104
235.60057	5124
235.62193	5157
235.6433	5151
235.66464	5163
235.686	5230
235.70737	5150
