Date and Time:                Fri Sep 9 16:29:57.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3442
290.54425	3289
290.56534	3331
290.58646	3337
290.60754	3324
290.62863	3380
290.64975	3369
290.67084	3357
290.69193	3363
290.71304	3373
290.73413	3348
290.75522	3313
290.77634	3314
290.79742	3335
290.81851	3378
290.83963	3361
290.86072	3376
290.88181	3379
290.90292	3383
290.92401	3410
290.9451	3397
290.96619	3410
290.9873	3378
291.00839	3381
291.02948	3399
291.05057	3355
291.07169	3371
291.09277	3365
291.11386	3388
291.13495	3391
291.15607	3391
291.17715	3365
291.19824	3407
291.21933	3380
291.24042	3362
291.26154	3400
291.28262	3418
291.30371	3396
291.3248	3449
291.34589	3452
291.36697	3464
291.38806	3428
291.40918	3443
291.43027	3420
291.45135	3417
291.47244	3447
291.49353	3456
291.51462	3459
291.53571	3452
291.55679	3448
291.57791	3428
291.599	3430
291.62009	3457
291.64117	3455
291.66226	3446
291.68335	3453
291.70444	3433
291.72552	3432
291.74661	3433
291.7677	3493
291.78879	3463
291.80988	3499
291.83096	3471
291.85205	3493
291.87314	3442
291.89423	3447
291.91531	3453
291.9364	3458
291.95749	3417
291.97858	3421
291.99966	3394
292.02075	3388
292.04184	3402
292.06293	3394
292.08401	3404
292.1051	3401
292.12619	3415
292.14725	3397
292.16833	3413
292.18942	3398
292.21051	3402
292.2316	3416
292.25269	3445
292.27377	3477
292.29486	3471
292.31595	3477
292.33701	3509
292.35809	3460
292.37918	3452
292.40027	3419
292.42136	3436
292.44244	3475
292.4635	3467
292.48459	3490
292.50568	3441
292.52676	3458
292.54785	3435
292.56891	3457
292.59	3488
292.61108	3532
292.63217	3520
292.65326	3515
292.67432	3515
292.6954	3519
292.71649	3553
292.73758	3568
292.75864	3580
292.77972	3619
292.80081	3620
292.82187	3629
292.84296	3653
292.86404	3648
292.8851	3671
292.90619	3688
292.92728	3728
292.94836	3718
292.96942	3694
