Date and Time:                Fri Sep 9 16:27:43.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3387
290.54425	3256
290.56534	3250
290.58646	3238
290.60754	3274
290.62863	3316
290.64975	3339
290.67084	3300
290.69193	3295
290.71304	3281
290.73413	3282
290.75522	3220
290.77634	3198
290.79742	3279
290.81851	3220
290.83963	3257
290.86072	3258
290.88181	3257
290.90292	3273
290.92401	3244
290.9451	3273
290.96619	3268
290.9873	3275
291.00839	3236
291.02948	3243
291.05057	3215
291.07169	3195
291.09277	3201
291.11386	3189
291.13495	3205
291.15607	3231
291.17715	3223
291.19824	3228
291.21933	3227
291.24042	3201
291.26154	3200
291.28262	3225
291.30371	3238
291.3248	3243
291.34589	3263
291.36697	3270
291.38806	3247
291.40918	3243
291.43027	3237
291.45135	3270
291.47244	3249
291.49353	3257
291.51462	3244
291.53571	3253
291.55679	3223
291.57791	3243
291.599	3227
291.62009	3260
291.64117	3242
291.66226	3235
291.68335	3248
291.70444	3219
291.72552	3232
291.74661	3230
291.7677	3237
291.78879	3253
291.80988	3279
291.83096	3281
291.85205	3247
291.87314	3255
291.89423	3269
291.91531	3245
291.9364	3208
291.95749	3239
291.97858	3225
291.99966	3206
292.02075	3211
292.04184	3193
292.06293	3190
292.08401	3216
292.1051	3202
292.12619	3213
292.14725	3207
292.16833	3208
292.18942	3226
292.21051	3205
292.2316	3223
292.25269	3241
292.27377	3265
292.29486	3293
292.31595	3301
292.33701	3315
292.35809	3304
292.37918	3256
292.40027	3301
292.42136	3286
292.44244	3321
292.4635	3320
292.48459	3335
292.50568	3323
292.52676	3319
292.54785	3348
292.56891	3356
292.59	3388
292.61108	3395
292.63217	3418
292.65326	3399
292.67432	3407
292.6954	3427
292.71649	3481
292.73758	3501
292.75864	3525
292.77972	3552
292.80081	3575
292.82187	3558
292.84296	3600
292.86404	3630
292.8851	3649
292.90619	3695
292.92728	3703
292.94836	3692
292.96942	3680
