Date and Time:                Fri Sep 9 16:31:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	302
290.54425	300
290.56534	300
290.58646	301
290.60754	303
290.62863	298
290.64975	303
290.67084	298
290.69193	301
290.71304	299
290.73413	302
290.75522	301
290.77634	299
290.79742	303
290.81851	307
290.83963	298
290.86072	299
290.88181	305
290.90292	300
290.92401	303
290.9451	305
290.96619	304
290.9873	300
291.00839	301
291.02948	299
291.05057	298
291.07169	301
291.09277	302
291.11386	306
291.13495	304
291.15607	299
291.17715	298
291.19824	300
291.21933	296
291.24042	301
291.26154	300
291.28262	299
291.30371	301
291.3248	306
291.34589	311
291.36697	298
291.38806	302
291.40918	299
291.43027	299
291.45135	300
291.47244	302
291.49353	301
291.51462	302
291.53571	302
291.55679	292
291.57791	300
291.599	300
291.62009	305
291.64117	300
291.66226	305
291.68335	306
291.70444	294
291.72552	303
291.74661	294
291.7677	301
291.78879	293
291.80988	296
291.83096	299
291.85205	300
291.87314	299
291.89423	301
291.91531	301
291.9364	293
291.95749	304
291.97858	296
291.99966	303
292.02075	293
292.04184	301
292.06293	299
292.08401	304
292.1051	301
292.12619	304
292.14725	302
292.16833	301
292.18942	303
292.21051	308
292.2316	301
292.25269	301
292.27377	307
292.29486	300
292.31595	301
292.33701	296
292.35809	300
292.37918	302
292.40027	301
292.42136	301
292.44244	302
292.4635	295
292.48459	302
292.50568	297
292.52676	299
292.54785	306
292.56891	301
292.59	297
292.61108	297
292.63217	301
292.65326	298
292.67432	299
292.6954	306
292.71649	303
292.73758	296
292.75864	300
292.77972	300
292.80081	294
292.82187	303
292.84296	305
292.86404	299
292.8851	306
292.90619	299
292.92728	303
292.94836	308
292.96942	301
292.99051	302
293.01157	302
293.03265	299
293.05374	307
293.0748	301
293.09589	301
293.11697	296
293.13803	298
293.15912	304
293.18018	296
293.20126	301
293.22235	301
293.24341	301
293.2645	305
293.28555	307
293.30664	298
