Date and Time:                Tue Apr 26 17:48:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	3195
258.37558	3054
258.39685	3077
258.41809	3080
258.43936	3104
258.4606	3090
258.48187	3071
258.50311	3097
258.52438	3102
258.54565	3119
258.56689	3128
258.58817	3113
258.60941	3117
258.63068	3129
258.65192	3138
258.67319	3093
258.69443	3129
258.7157	3182
258.73694	3191
258.75821	3164
258.77945	3151
258.80072	3177
258.82196	3162
258.84323	3168
258.86447	3165
258.88574	3132
258.90698	3143
258.92825	3164
258.94949	3128
258.97076	3166
258.992	3178
259.01324	3206
259.03452	3195
259.05576	3226
259.07703	3179
259.09827	3183
259.11954	3166
259.14078	3183
259.16202	3204
259.18329	3217
259.20453	3214
259.22577	3215
259.24704	3243
259.26828	3277
259.28955	3251
259.31079	3281
259.33203	3256
259.3533	3241
259.37454	3251
259.39578	3278
259.41705	3327
259.43829	3324
259.45953	3315
259.4808	3346
259.50204	3332
259.52328	3340
259.54453	3346
259.5658	3342
259.58704	3383
259.60828	3393
259.62952	3381
259.65079	3375
259.67203	3401
259.69327	3395
259.71451	3398
259.73578	3400
259.75702	3390
259.77826	3406
259.7995	3416
259.82077	3416
259.84201	3423
259.86325	3401
259.88449	3435
259.90573	3426
259.92697	3449
259.94824	3444
259.96948	3454
259.99072	3465
260.01196	3450
260.0332	3484
260.05444	3459
260.07571	3462
260.09695	3474
260.11819	3438
260.13943	3441
260.16068	3484
260.18192	3482
260.20316	3483
260.2244	3492
260.24564	3480
260.26688	3506
260.28815	3527
260.30939	3542
260.33063	3555
260.35187	3582
260.37311	3577
260.39435	3592
260.41559	3592
260.43683	3603
260.45807	3601
260.47931	3604
260.50055	3630
260.52179	3636
260.54303	3633
260.56427	3614
260.58551	3602
260.60675	3595
260.62799	3599
260.64923	3624
260.67047	3616
260.69171	3663
260.71295	3689
260.73419	3672
260.75543	3657
260.77667	3694
260.79791	3693
260.81912	3714
