Date and Time:                Sat Jan 28 14:51:20.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	303
318.6994	295
318.72034	308
318.7413	298
318.76227	299
318.7832	303
318.80417	305
318.8251	300
318.84607	304
318.867	300
318.88797	296
318.90891	295
318.92987	300
318.95081	301
318.97177	303
318.99271	302
319.01367	299
319.03461	295
319.05557	302
319.07651	301
319.09747	305
319.11841	300
319.13937	306
319.16031	297
319.18127	308
319.20221	299
319.22318	300
319.24411	304
319.26505	301
319.28601	302
319.30695	297
319.32791	301
319.34885	303
319.36978	298
319.39075	304
319.41168	304
319.43262	301
319.45358	300
319.47452	305
319.49545	302
319.51642	302
319.53735	299
319.55829	305
319.57925	295
319.60019	303
319.62112	299
319.64209	298
319.66302	302
319.68396	297
319.7049	305
319.72586	297
319.7468	302
319.76773	307
319.78867	289
319.80963	301
319.83057	302
319.8515	297
319.87244	301
319.8934	302
319.91434	300
319.93527	302
319.95621	307
319.97714	299
319.99811	302
320.01904	306
320.03998	302
320.06091	301
320.08185	306
320.10278	295
320.12375	296
320.14468	299
320.16562	296
320.18655	305
320.20749	303
320.22842	300
320.24936	297
320.27029	302
320.29123	303
320.31216	302
320.33313	304
320.35406	300
320.375	294
320.39594	300
320.41687	303
320.43781	304
320.45874	298
320.47968	303
320.50061	302
320.52155	298
320.54248	302
320.56342	300
320.58435	301
320.60529	302
320.62622	296
320.64716	305
320.66809	298
320.68903	305
320.70996	300
320.7309	308
320.75183	301
320.77274	298
320.79367	302
320.81461	304
320.83554	299
320.85648	300
320.87741	300
320.89835	301
320.91928	307
320.94022	299
320.96115	302
320.98206	305
321.00299	300
321.02393	293
321.04486	303
321.0658	298
321.08673	297
321.10764	305
321.12857	304
321.14951	305
321.17044	304
321.19138	307
321.21228	302
321.23322	301
321.25415	301
321.27509	295
321.29602	300
321.31693	293
321.33786	304
321.3588	301
321.37973	300
321.40063	297
321.42157	302
321.4425	302
