Date and Time:                Tue Apr 26 17:48:12.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	3190
258.37558	3113
258.39685	3103
258.41809	3109
258.43936	3106
258.4606	3119
258.48187	3122
258.50311	3112
258.52438	3154
258.54565	3129
258.56689	3164
258.58817	3135
258.60941	3163
258.63068	3169
258.65192	3161
258.67319	3151
258.69443	3151
258.7157	3207
258.73694	3223
258.75821	3206
258.77945	3202
258.80072	3163
258.82196	3234
258.84323	3203
258.86447	3181
258.88574	3158
258.90698	3195
258.92825	3181
258.94949	3192
258.97076	3191
258.992	3211
259.01324	3203
259.03452	3237
259.05576	3240
259.07703	3238
259.09827	3237
259.11954	3191
259.14078	3232
259.16202	3244
259.18329	3215
259.20453	3248
259.22577	3274
259.24704	3304
259.26828	3315
259.28955	3296
259.31079	3303
259.33203	3281
259.3533	3304
259.37454	3327
259.39578	3310
259.41705	3350
259.43829	3380
259.45953	3388
259.4808	3353
259.50204	3364
259.52328	3376
259.54453	3388
259.5658	3428
259.58704	3406
259.60828	3442
259.62952	3387
259.65079	3408
259.67203	3432
259.69327	3429
259.71451	3411
259.73578	3420
259.75702	3445
259.77826	3450
259.7995	3434
259.82077	3421
259.84201	3447
259.86325	3456
259.88449	3460
259.90573	3469
259.92697	3496
259.94824	3513
259.96948	3501
259.99072	3496
260.01196	3514
260.0332	3497
260.05444	3494
260.07571	3493
260.09695	3479
260.11819	3482
260.13943	3490
260.16068	3507
260.18192	3530
260.20316	3526
260.2244	3527
260.24564	3552
260.26688	3525
260.28815	3569
260.30939	3575
260.33063	3591
260.35187	3621
260.37311	3642
260.39435	3644
260.41559	3633
260.43683	3648
260.45807	3653
260.47931	3669
260.50055	3663
260.52179	3674
260.54303	3673
260.56427	3667
260.58551	3643
260.60675	3640
260.62799	3658
260.64923	3650
260.67047	3651
260.69171	3724
260.71295	3757
260.73419	3708
260.75543	3733
260.77667	3735
260.79791	3722
260.81912	3752
