Date and Time:                Wed Apr 6 13:41:44.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	314
269.08499	295
269.09479	303
269.10455	308
269.11432	299
269.12411	304
269.13388	304
269.14365	304
269.15344	306
269.16321	304
269.17297	303
269.18277	303
269.19254	301
269.2023	304
269.2121	306
269.22186	300
269.23163	308
269.24142	304
269.25119	296
269.26096	303
269.27072	300
269.28052	302
269.29028	302
269.30005	298
269.30984	303
269.31961	299
269.32938	303
269.33914	307
269.34894	306
269.3587	302
269.36847	302
269.37823	298
269.388	307
269.3978	303
269.40756	306
269.41733	306
269.42709	303
269.43689	306
269.44666	306
269.45642	304
269.46619	302
269.47595	308
269.48575	305
269.49551	307
269.50528	310
269.51505	301
269.52481	303
269.53458	299
269.54437	307
269.55414	306
269.5639	302
269.57367	299
269.58344	304
269.5932	302
269.60297	302
269.61273	301
269.62253	298
269.63229	302
269.64206	310
269.65182	302
269.66159	307
269.67136	307
269.68112	298
269.69089	303
269.70065	298
269.71042	306
269.72021	302
269.72998	303
269.73975	301
269.74951	299
269.75928	300
269.76904	306
269.77881	303
269.78857	298
269.79834	301
269.80811	307
269.81787	306
269.82764	306
269.8374	305
269.84717	302
269.85693	297
269.8667	307
269.87646	302
269.88623	297
269.896	305
269.90576	306
269.91553	303
269.92529	298
269.93506	305
269.94482	303
269.95459	306
269.96436	299
269.97412	301
269.98389	302
269.99365	310
270.00342	302
270.01318	302
270.02292	299
270.03268	303
270.04245	302
270.05222	309
270.06198	305
270.07175	299
270.08151	303
270.09128	304
270.10104	304
270.11081	304
270.12054	305
270.13031	304
270.14008	300
270.14984	303
270.15961	297
270.16937	308
270.17914	298
270.18887	302
270.19864	310
270.2084	304
270.21817	304
270.22794	300
270.2377	298
270.24744	305
270.2572	306
270.26697	299
270.27673	304
270.2865	296
270.29626	301
270.306	306
270.31577	298
270.32553	301
270.3353	305
270.34503	305
270.3548	300
270.36456	304
270.37433	295
