Date and Time:                Fri Oct 7 11:50:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3266
203.10698	3124
203.12848	3156
203.14999	3165
203.17151	3157
203.19302	3186
203.21452	3202
203.23604	3220
203.25755	3201
203.27905	3214
203.30057	3209
203.32208	3227
203.34358	3195
203.3651	3261
203.38661	3241
203.40811	3293
203.42963	3319
203.45113	3296
203.47264	3346
203.49416	3349
203.51566	3364
203.53717	3376
203.55867	3400
203.58018	3416
203.60168	3411
203.6232	3435
203.6447	3458
203.66621	3501
203.68771	3488
203.70923	3504
203.73073	3552
203.75224	3545
203.77374	3559
203.79526	3576
203.81676	3583
203.83827	3623
203.85977	3633
203.88127	3661
203.90279	3666
203.92429	3698
203.94579	3720
203.9673	3695
203.9888	3740
204.01031	3728
204.03181	3774
204.05331	3782
204.07481	3794
204.09633	3808
204.11783	3852
204.13933	3869
204.16084	3875
204.18234	3890
204.20384	3889
204.22534	3927
204.24684	3963
204.26836	3987
204.28986	3993
204.31136	4032
204.33286	4025
204.35435	4039
204.37587	4073
204.39737	4072
204.41887	4109
204.44037	4110
204.46187	4111
204.48337	4166
204.50487	4149
204.52637	4151
204.54787	4144
204.56937	4164
204.59087	4231
204.61237	4241
204.63387	4256
204.65536	4302
204.67688	4300
204.69836	4313
204.71986	4309
204.74136	4321
204.76286	4368
204.78436	4392
204.80586	4410
204.82736	4402
204.84886	4423
204.87036	4433
204.89186	4462
204.91336	4493
204.93486	4563
204.95636	4586
204.97784	4592
204.99934	4609
205.02084	4618
205.04234	4630
205.06384	4639
205.08534	4664
205.10683	4740
205.12833	4767
205.14983	4782
205.17133	4779
205.19281	4817
205.21431	4853
205.23581	4863
205.25731	4898
205.27879	4935
205.30029	4962
205.32179	4975
205.34328	4999
205.36478	5006
205.38628	5048
205.40776	5057
205.42926	5063
205.45074	5087
205.47224	5092
205.49374	5086
205.51523	5197
205.53673	5186
205.55821	5190
205.57971	5191
