Date and Time:                Thu Oct 27 13:46:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	4067
255.46075	3901
255.48203	3872
255.5033	3888
255.52457	3893
255.54584	3938
255.56711	3912
255.58838	3913
255.60965	3928
255.63092	3934
255.65221	3906
255.67348	3901
255.69475	3877
255.71602	3889
255.73729	3937
255.75854	3932
255.77982	3886
255.80109	3950
255.82236	3947
255.84363	3960
255.8649	3934
255.88617	3925
255.90744	3922
255.92871	3961
255.94998	3976
255.97125	3954
255.99251	3972
256.01379	3988
256.03506	3986
256.0563	3978
256.07758	4022
256.09885	4030
256.12012	4028
256.14139	4004
256.16266	4078
256.18393	4025
256.2052	4041
256.22644	4063
256.24771	4086
256.26898	4072
256.29025	4068
256.31152	4056
256.33279	4048
256.35403	4052
256.37531	4055
256.39658	4078
256.41785	4106
256.43912	4114
256.46036	4135
256.48163	4091
256.5029	4072
256.52417	4125
256.54544	4129
256.56668	4141
256.58795	4166
256.60922	4169
256.63049	4164
256.65173	4185
256.673	4204
256.69427	4200
256.71552	4222
256.73679	4181
256.75806	4225
256.77933	4200
256.80057	4210
256.82184	4194
256.84311	4212
256.86435	4208
256.88562	4157
256.90689	4144
256.92813	4146
256.9494	4125
256.97067	4150
256.99191	4145
257.01318	4175
257.03445	4161
257.05569	4166
257.07697	4151
257.09821	4145
257.11948	4167
257.14075	4181
257.16199	4208
257.18326	4211
257.2045	4217
257.22577	4224
257.24704	4258
257.26828	4288
257.28955	4262
257.31079	4236
257.33206	4253
257.3533	4292
257.37457	4283
257.39581	4259
257.41708	4254
257.43832	4267
257.45959	4281
257.48083	4279
257.50211	4295
257.52335	4311
257.54462	4350
257.56586	4324
257.58713	4339
257.60837	4331
257.62964	4361
257.65088	4393
257.67215	4386
257.69339	4423
257.71466	4465
257.7359	4455
257.75714	4429
257.77841	4428
257.79965	4395
257.82092	4407
257.84216	4455
257.86343	4449
257.88467	4473
