Date and Time:                Mon Apr 25 12:45:38.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	304
388.15466	300
388.16342	301
388.17215	305
388.18091	302
388.18967	299
388.19843	298
388.20715	301
388.21591	305
388.22467	301
388.2334	302
388.24216	297
388.25092	300
388.25967	304
388.2684	308
388.27716	305
388.28592	309
388.29465	303
388.30341	304
388.31216	307
388.32089	302
388.32965	304
388.33838	303
388.34714	303
388.3559	300
388.36462	306
388.37338	305
388.38214	304
388.39087	300
388.39963	306
388.40836	298
388.41711	305
388.42587	307
388.4346	304
388.44336	300
388.45209	304
388.46085	307
388.46957	297
388.47833	301
388.48706	301
388.49582	298
388.50455	311
388.51331	300
388.52203	307
388.53079	301
388.53952	306
388.54828	302
388.55701	298
388.56577	302
388.57449	300
388.58325	301
388.59198	300
388.60074	308
388.60947	300
388.61823	303
388.62695	303
388.63571	300
388.64444	305
388.65317	300
388.66193	298
388.67065	305
388.67941	300
388.68814	297
388.69687	305
388.70563	307
388.71436	302
388.72311	306
388.73184	305
388.74057	302
388.74933	300
388.75806	299
388.76678	300
388.77554	309
388.78427	305
388.793	302
388.80176	296
388.81049	301
388.81921	307
388.82797	302
388.8367	300
388.84543	304
388.85416	300
388.86292	304
388.87164	302
388.88037	306
388.88913	303
388.89786	305
388.90659	299
388.91531	299
388.92407	294
388.9328	300
388.94153	303
388.95026	305
388.95898	306
388.96774	300
388.97647	306
388.9852	304
388.99393	302
389.00266	303
389.01141	309
389.02014	299
389.02887	300
389.0376	304
389.04633	301
389.05505	300
389.06378	302
389.07254	301
389.08127	298
389.09	307
389.09872	300
389.10745	307
389.11618	304
389.12491	305
389.13364	302
389.14236	300
389.15112	299
389.15985	307
389.16858	295
389.17731	299
389.18604	304
389.19476	301
389.20349	304
389.21222	301
389.22095	300
389.22968	307
389.2384	304
389.24713	303
389.25586	296
389.26459	306
389.27332	299
389.28204	300
389.29077	303
389.2995	297
389.30823	305
