Date and Time:                Fri Sep 9 14:46:27.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	302
261.39099	304
261.41223	310
261.4335	308
261.45474	304
261.47598	310
261.49722	311
261.51846	309
261.5397	304
261.56094	307
261.58218	307
261.60342	299
261.62466	306
261.6459	305
261.66718	310
261.68842	312
261.70966	302
261.7309	312
261.75214	306
261.77338	310
261.79462	306
261.81586	304
261.8371	306
261.85834	310
261.87958	309
261.90082	300
261.92206	305
261.9433	306
261.96454	306
261.98578	308
262.00702	302
262.02826	305
262.0495	304
262.07071	310
262.09195	309
262.11319	316
262.13443	305
262.15567	308
262.17691	307
262.19815	305
262.21939	302
262.24063	305
262.26187	300
262.28311	306
262.30432	308
262.32556	303
262.3468	303
262.36804	311
262.38928	309
262.41052	305
262.43176	307
262.45297	303
262.47421	301
262.49545	306
262.51669	309
262.53793	305
262.55917	305
262.58038	304
262.60162	309
262.62286	301
262.6441	303
262.66531	304
262.68655	309
262.70779	310
262.72903	307
262.75024	306
262.77148	305
262.79272	307
262.81396	303
262.83517	305
262.85641	303
262.87766	309
262.8989	308
262.9201	310
262.94135	304
262.96259	310
262.9838	307
263.00504	301
263.02628	306
263.04749	305
263.06873	306
263.08997	307
263.11118	312
263.13242	307
263.15366	309
263.17487	304
263.19611	304
263.21732	308
263.23856	307
263.2598	305
263.28101	307
263.30225	306
263.32346	308
263.3447	304
263.36594	302
263.38715	302
263.40839	307
263.4296	300
263.45084	304
263.47205	306
263.49329	308
263.51453	302
263.53574	307
263.55698	307
263.57819	306
263.59943	303
263.62064	303
263.64188	308
263.66309	307
263.68433	302
263.70554	300
263.72678	313
263.74799	305
263.7692	309
263.79044	308
263.81165	306
263.83289	306
263.8541	306
263.87534	312
263.89655	305
263.91779	307
263.939	306
263.96021	306
263.98145	296
264.00266	303
264.0239	304
264.0451	306
264.06631	305
264.08755	306
264.10876	303
264.12997	308
264.15121	308
264.17242	309
